Applicant_Name,Medical_Specialty,Study_Name
Bolton Medical; Inc.,Cardiovascular,Continued f/u of the IDE Study Subjects
BOSTON SCIENTIFIC,Cardiovascular,MOUNTAIN PAS
Boston Scientific Corp.,Cardiovascular,INTERRUPT AF PAS
Boston Scientific Corp.,Cardiovascular,IMPERIAL Continued f/u study
Boston Scientific Corp.,Cardiovascular,REGAL and EMINENT Long Term f/u studies
Boston Scientific Corp.,Cardiovascular,DirectSense RF Sub-study
Boston Scientific Corp.,Cardiovascular,INTERRUPT (Zero) AF PAS
Boston Scientific Corp.,Cardiovascular,MOUNTAIN PAS
Boston Scientific Corp.,Cardiovascular,Continued f/u of IDE Cohorts
Boston Scientific Corp.,Cardiovascular,WATCHMAN New Enrollment (NESTed-PAS)
Boston Scientific Corp.,Cardiovascular,WATCHMAN Comprehensive/Linked-Registry 
Boston Scientific Corp.,Cardiovascular,TAXUS Registry
Boston Scientific Corp.,Cardiovascular,Dual Antiplatelet Study
Boston Scientific Corp.,Cardiovascular,Fatigue & Stability Testing
Boston Scientific Corp.,Cardiovascular,Outcomes TAXUS ATLAS
Boston Scientific Corp.,Cardiovascular,WATCHMAN FLX LAA Closure Device w/Delivery RW Use 
Boston Scientific Corp.,Cardiovascular,PINNACLE FLX Cont f/u of IDE Cohort
Boston Scientific Corp.,Cardiovascular,WATCHMAN FLX NESTed DAPT  PAS
Boston Scientific Corp.,Cardiovascular,SURPASS Pro
Boston Scientific Corporation,Cardiovascular,POLARx PAS
Boston Scientific Corporation,Radiology,The Patient Exposure Study
BOSTON SCIENTIFIC CORPORATION,Cardiovascular,EMBLEM S-ICD Electrode Model 3501 PAS
BOSTON SCIENTIFIC CORPORATION,Cardiovascular,Synergy Megatron PAS
Boston Scientific Corporation,Cardiovascular,RANGER II SFA Cont F/u Study
Boston Scientific Corporation,Cardiovascular,Range Long Balloon; Ranger China & COMPARE I f/u  
BOSTON SCIENTIFIC CORPORATION,Cardiovascular,EVOLVE 4.5/5.0 Study
Boston Scientific Neuromodulation,Orthopedic,SPACER
Boston Scientific Neuromodulation,Orthopedic,Superion New Enrollment Study
C.R. Bard; Inc,Cardiovascular,AVeNEW PAS
C.R. Bard; Inc,Cardiovascular,AVeNEW Cont f/u Study
CARDIOFOCUS; INC.,Cardiovascular,HeartLight X3 PAS
CARDIOFOCUS; INC.,Cardiovascular,CF HeartLight PAS
CARDIOFOCUS; INC.,Cardiovascular,PAS of HeartLight Endoscopic Ablation Sys
Carl Zeiss Meditec; Inc.,Ophthalmic,VisuMax SMILE New Enrollment 
Cochlear Americas,Ear Nose & Throat,Cochlear New Enrollment SSD/UHL Study
CooperVision; Inc.,Ophthalmic,MiSight 1 Day PAS
CooperVision; Inc.,Ophthalmic,MiSight 1 Day Safety PAS
Cordis US Corp.,Cardiovascular,PALMAZ MULLINS XD Real-World Use PAS
Cordis US Corporation,Cardiovascular,Long Term INSPIRATION Study
Cordis US Corporation,Cardiovascular,INCRAFT US Post-Approval Study
CVRx; INC.,Cardiovascular,Extended Phase BeAT-HF PAS
DEPUY ORTHOPAEDICS; INC.,Orthopedic,Long-Term F/U of IDE COC36 patients
DEPUY ORTHOPAEDICS; INC.,Orthopedic,Short-Mid-Term F/u of New COC36 patients
DEPUY ORTHOPAEDICS; INC.,Orthopedic,COC36 PAS: UK & Australian Natl Joint Reg
DEPUY ORTHOPAEDICS; INC.,Orthopedic,Kaiser Permanente Joint Registry
DEPUY ORTHOPAEDICS; INC.,Orthopedic,Natl Joint Registry for England and Wales
DEPUY ORTHOPAEDICS; INC.,Orthopedic,Australian Ortho Assc Natl Joint Registry
DEPUY ORTHOPAEDICS; INC.,Orthopedic,Duraloc Long Term 
DEPUY ORTHOPAEDICS; INC.,Orthopedic,New England Bapt Hospital Joint Registry
DEPUY ORTHOPAEDICS; INC.,Orthopedic,Prospective Post-Approval Study
DEPUY ORTHOPAEDICS; INC.,Orthopedic,DePuy Outcome Tracking Sys Registry(DOTS)
DEXCOM; INC.,Clinical Chemistry,Dexcom G5 Mobile Cont Glucose Monitoring Sys -PAS
DJO Global,Orthopedic,Long Term Study
DJO Global,Orthopedic,Actual Conditions of Use Study (STAR 2)
DJO Global,Orthopedic,S.T.A.R. Ankle PAS
DT MedTech LLC,Orthopedic,Hintermann Series H3 TAR Performance Study
DT MedTech LLC,Orthopedic,Hintermann Series H3 TAR Long Term Study
Edwards Lifesciences LLC,Cardiovascular,Registry-Based Real-World Use Surveillance
Edwards LifeSciences LLC,Cardiovascular,Continued Follow-up of the CLASP III Trial Cohort
Edwards LifeSciences LLC,Cardiovascular,Registry-Based Real-World Use Surveillance
Edwards Lifesciences; LLC,Cardiovascular,Cont f/u of the Alterra IDE Cohort
Edwards Lifesciences; LLC,Cardiovascular,Alterra New Enrollment Study
Edwards Lifesciences; LLC,Cardiovascular,SAPIEN 3 Pulmonic Long Term F/u Study
Edwards Lifesciences; LLC,Cardiovascular,SAPIEN 3 Pulmonic New Enrollment Study-COMPASSION 
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,SAPIEN 3 and SAPIEN 3 Ultra Aortic THV-in-THV Surv
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,Cont f/u of SAPIEN 3 Bicuspid Registry
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,CAP Cohort and Low Risk Bicuspid RWU Surveillance
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,SAPIEN 3 & SAPIEN 3 Ultra Mitral ValveInRing Surv
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,S3UR Real World Surveillance
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,Continued f/u of premarket cohort
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,Comprehensive/Linked-Registry Based Surv
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,Model 11500A Prospective PAS 
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,Model 11500A Valve-in-Valve PAS
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,PAS Aortic Continued Follow-up
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,Continued f/u of premarket cohort
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,Comprehensive/Linked-Registry Based Surv
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,SAPIEN 3 Aortic Valve-in-Valve Comp Surv
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,SAPIEN 3 Mitral Valve-in-Valve Comp Surv
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,Cont f/u of SAPIEN 3 Low Risk cohort PAS
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,SAPIEN 3 Registry-Based Cont Access & Low Risk RWU
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,SAPIEN 3 Ultra Novel Surveillance
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,Mitral Model 11000M; Cont f/u Post-Approval Study
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,Long Term 
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,Continued f/u of premarket cohort
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,Comprehensive/Linked-Registry
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,Continued f/u of the premarket cohort
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,Comprehensive Linked Registry-Based Surv
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,New Enrollment SAPIEN XT Pulmonic PAS
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,COMPASSION Cohort
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,Cont F/U of the IDE inop pts cohort(B)
EDWARDS LIFESCIENCES; LLC.,Cardiovascular,Comprehensive/Linked-Registry Based Surv
Endologix; LLC,Cardiovascular,Alto US and OUS Post-Approval Study
Endologix; LLC,Cardiovascular,Case Selection and Sizing Study
Endologix; LLC,Cardiovascular,VQI and VISION EVAR Registry Analysis
Endologix; LLC,Cardiovascular,DETOUR2 Continued Follow-up Study
Endologix; LLC,Cardiovascular,PTAB1 New Enrollment Registry Study
ENDOMAGNETICS LTD.,General & Plastic Surgery,Post-Approval Study (2ml)
ENVOY MEDICAL CORPORATION,Ear Nose & Throat,New Enrollment
ENVOY MEDICAL CORPORATION,Ear Nose & Throat,Esteem New Enrollment 2
ENVOY MEDICAL CORPORATION,Ear Nose & Throat,Extended Follow-up of PMA study
Epigenomics AG,Pathology,Epi proColon PAS
Exact Sciences Corporation,Pathology,Cologuard PAS
Exact Sciences Corporation,Pathology,A Post-Marketing Real World Study-Tidal
EXACTECH; INC.,Orthopedic,Long Term
EXACTECH; INC.,Orthopedic,Novation PAS
FARAPULSE; Inc.,Cardiovascular,ADVENT Post-Approval Study
Foundation Medicine; Inc.,Pathology,RET Fusion Clinical Efficacy PAS for Selpercatinib
Foundation Medicine; Inc.,Pathology,NTRK Clinical Efficacy PAS for Larotrectinib
Foundation Medicine; Inc.,Pathology,ROZYLTREK PAS
Glaukos Corporation,Ophthalmic,Extended f/u Premarket Cohort
Glaukos Corporation,Ophthalmic,New Enrollment PAS
GLAUKOS; CORPORATION,Ophthalmic,New Enrollment Study
GLAUKOS; CORPORATION,Ophthalmic,Registry Study
GLAUKOS; CORPORATION,Ophthalmic,Extended F/u of IDE Cohort Study
Globus Medical; Inc.,Orthopedic,REFLECT Scoliosis Correction System Registry PAS
Gyrus ACMI; Inc.,Anesthesiology,EMPROVE Extension Study
Gyrus ACMI; Inc.,Anesthesiology,SVS [STRIVE] Post-Market Registry Study
HDL Therapeutics; Inc.,Gastroenterology/Urology,HALO-FHII PAS
HDL Therapeutics; Inc.,Gastroenterology/Urology,HF PAS
HumanOptics AG,Ophthalmic,PAS; Adult and Pediatric
HumanOptics AG,Ophthalmic,Pediatric New Enrollment
Impulse Dynamics (USA); Inc.,Cardiovascular,OPTIMIZER System PAS
InSightec,Neurology,PAS Registry Study for ExAblate 4000
InSightec,Neurology,ExAblate Neuro PAS
INSIGHTEC; LTD,Obstetrics/Gynecology,Post ExAblate Pregnancy Outcomes Registry
INSPIRE MEDICAL SYSTEMS,Anesthesiology,Ext FU Premkt Cohort Inspire 4 STAR Trial
INSPIRE MEDICAL SYSTEMS,Anesthesiology,New Enrollment Study
INSPIRE MEDICAL SYSTEMS,Anesthesiology,Inspire Pediatric Post-Approval Registry
INSPIRE MEDICAL SYSTEMS,Anesthesiology,Inspire UAS New Enrollment PAS
INSPIRE MEDICAL SYSTEMS,Anesthesiology,Inspire UAS High AHI/High BMI PAS
Integrum AB,Orthopedic,TFAOS PAS
Integrum AB,Orthopedic,Osseointegration Quality Registry PAS
INTRINSIC THERAPEUTICS,Orthopedic,Extended F/U-Barricaid ACD Premarket Cohort
INTRINSIC THERAPEUTICS,Orthopedic,Histological and Retrieval Analysis PAS
Ivantis; Inc. wholly-owned subsidiary of Alcon Research; LLC,Ophthalmic,Continuation of Premarket Cohort PAS
Ivantis; Inc. wholly-owned subsidiary of Alcon Research; LLC,Ophthalmic,Modified Hydrus New Enrollment PAS
Kaneka Pharma America LLC,Gastroenterology/Urology,New Enroll PAS LIPOSORBER LA-15 Adults
KANEKA PHARMA AMERICA LLC,Gastroenterology/Urology,New Enrollment Study
KANEKA PHARMA AMERICA LLC,Gastroenterology/Urology,New Enroll. PAS for Liposorber LA-15 Sys
Kestra Medical Technologies; Inc.,Cardiovascular,ACE-PAS
Lenstec; Inc.,Ophthalmic,Lenstec SBL-3 PAS
LimFlow; Inc.,Cardiovascular,PROMISE II Continued Follow-up Study
LimFlow; Inc.,Cardiovascular,PROMISE III Post-Approval Study
LUTONIX,Cardiovascular,IDE Cohort Post Approval Study
LUTONIX,Cardiovascular,New Enrollment PAS Registry
MED-EL CORP.,Ear Nose & Throat,MED-EL New Enrollment SSD/AHL Study
Medtronic,Cardiovascular,Cont F/u of HW004-A ENDURANCE
Medtronic,Cardiovascular,ENDURANCE PAS
MEDTRONIC CARDIAC RHYTHM DISEASE MANAGEMENT,Cardiovascular,iATP PAS
MEDTRONIC CARDIAC RHYTHM DISEASE MANAGEMENT,Cardiovascular,iATP PAS
Medtronic CryoCath LP,Cardiovascular,Cryo AF Global Registry PAS
Medtronic CryoCath LP,Cardiovascular,Cryo Global Registry
Medtronic Inc.,Cardiovascular,DIAMOND AF PAS
Medtronic Inc.,Cardiovascular,SPYRAL HTN-OFF MED and HTN-ON MED Cont f/u studies
Medtronic Inc.,Cardiovascular,SPYRAL AFFIRM PAS: New Enrollment Registry Study
MEDTRONIC Inc.,Cardiovascular,Micra Jugular Access PAS
MEDTRONIC Inc.,Cardiovascular,Micra AV Post Approval Study
MEDTRONIC Inc.,Cardiovascular,Attain Stability Quad PAS
MEDTRONIC Inc.,Cardiovascular,Micra Rate Resp Conf Study
MEDTRONIC Inc.,Cardiovascular,Micra Transcatheter Pacing System PAS
MEDTRONIC Inc.,Neurology,DBS for Epilepsy New Enrollment PAS
MEDTRONIC Inc.,Clinical Chemistry,PAS of TS Feat. w Sensor-Augment Pump Sys
MEDTRONIC Inc.,Clinical Chemistry,PAS of TS Feat w/sensor-aug w/comm data
MEDTRONIC MINIMED; INC.,Clinical Chemistry,MiniMed 670G Post Approval Study
MEDTRONIC MINIMED; INC.,Clinical Chemistry,Post-Approval Study
MEDTRONIC MINIMED; INC.,Clinical Chemistry,MiniMed 780G New Enrollment Study
MEDTRONIC NEUROMODULATION,Gastroenterology/Urology,Urgency Frequency (UF 1635)
MEDTRONIC NEUROMODULATION,Gastroenterology/Urology,Urinary Urge Incontinence (UUI)
MEDTRONIC NEUROMODULATION,Gastroenterology/Urology,Single Tined Lead (protocol 1634)
Medtronic Sofamor Danek USA; Inc.,Orthopedic,Extended Follow-Up
Medtronic Sofamor Danek USA; Inc.,Orthopedic,Enhanced Surveillance Study
Medtronic Sofamor Danek USA; Inc.,Orthopedic,Device Failure
Medtronic Sofamor Danek USA; Inc.,Orthopedic,Device Failure and Complaint Analysis 
MEDTRONIC VASCULAR,Cardiovascular,Cont f/u RESOLUTE ONYX Clinical 
MEDTRONIC VASCULAR,Cardiovascular,RESOLUTE ONYX PAS
Medtronic Vascular,Cardiovascular,Cont f/u ANCHOR Reg Short Neck Cohort
MEDTRONIC VASCULAR,Cardiovascular,Cont f/u of RESOLUTE ONYX 2.0 Clinical 
MEDTRONIC VASCULAR,Cardiovascular,RESOLUTE ONYX PAS
Medtronic Vascular,Cardiovascular,Valiant Dissection PAS
Medtronic Vascular,Cardiovascular,Comprehensive/Linked-Registry Based Surv.
Medtronic Vascular Inc.,Cardiovascular,IN.PACT AV Access IDE Cohort PAS
Medtronic Vascular Inc.,Cardiovascular,New Enrollment IN.PACT AV Access PAS
Medtronic; Inc.,Cardiovascular,Cont fu of Evolt R and PRO Sys Low Risk cohort PAS
Medtronic; Inc.,Cardiovascular,Evolut R and PRO Sys Registry-Based Low Risk RWU
Medtronic; Inc.,Cardiovascular,Cont f/u Intermediate Risk Cohort
Medtronic; Inc.,Cardiovascular,Intermediate Risk Surveillance
Medtronic; Inc.,Cardiovascular,Cont f/u of CoreValve Evolut PRO System 
Medtronic; Inc.,Cardiovascular,Comprehensive/Linked-Registry Based Surv
Medtronic; Inc.,Cardiovascular,Heart Failure Risk Status (HFRS) PAS
Medtronic; Inc.,Cardiovascular,Continued f/u of premarket cohort
Medtronic; Inc.,Cardiovascular,Comprehensive/Linked-Registry Based Surv
Medtronic; Inc.,Cardiovascular,MR conditional Tachy Therapy Systems Stud
Medtronic; Inc.,Cardiovascular,MR conditional Tachy Therapy Systems
Medtronic; Inc.,Cardiovascular,Continued f/u of the premarket cohorts
Medtronic; Inc.,Cardiovascular,Comprehensive/Linked-Registry Based Surv
Medtronic; Inc.,Cardiovascular,Continued f/u of the premarket cohort
Medtronic; Inc.,Cardiovascular,Comprehensive/Linked-Registry
Medtronic; Inc.,Cardiovascular,Continued f/u of continued access cohort
Medtronic; Inc.,Cardiovascular,New Enrollment of extreme risk patients
Medtronic; Inc.,Cardiovascular,Contined f/u of IDE pivotal cohort
Medtronic; Inc.,Cardiovascular,Continued f/u of premarket cohort
Medtronic; Inc.,Cardiovascular,Comprehensive/Linked-Registry Based Surv
Medtronic; Inc.,Cardiovascular,Continued f/u of premarket cohort
Medtronic; Inc.,Cardiovascular,Comprehensive/Linked-Registry Based Surv
Medtronic; Inc.,Cardiovascular,Continued Follow-up of the Harmony TPV IDE Cohort
Medtronic; Inc.,Cardiovascular,Harmony TPV New Enrollment Study
Medtronic; Inc.,Cardiovascular,Cont F/u Low Risk Premarket Cohort
Medtronic; Inc.,Cardiovascular,Low Risk Real World Use Surveillance
Medtronic; Inc.,Cardiovascular,Enlighten PAS
Medtronic; Inc.,Cardiovascular,PULSED AF Post Approval Study
MENTOR CORP.,General & Plastic Surgery,Re-Op Phase
MENTOR CORP.,General & Plastic Surgery,Adjunct Study
MENTOR CORP.,General & Plastic Surgery,Core
MENTOR CORP.,General & Plastic Surgery,Focus Group
MENTOR CORP.,General & Plastic Surgery,Breast Implant Case Control Studies
MENTOR CORP.,General & Plastic Surgery,Large PAS
MENTOR CORP.,General & Plastic Surgery,Device Failure Study
MENTOR CORP.,General & Plastic Surgery,Informed Decision Process
MENTOR CORP.,General & Plastic Surgery,MemoryGel and Shape Glow Study  
MENTOR WORLDWIDE LLC,General & Plastic Surgery,Post-Approval PMA Cohort Study (PACS)
MENTOR WORLDWIDE LLC,General & Plastic Surgery,Post-approval Cont Access Study (PACAS)
MENTOR WORLDWIDE LLC,General & Plastic Surgery,MemoryGel and Shape Glow Study
MENTOR WORLDWIDE LLC,General & Plastic Surgery,Breast Implant Case-Control Studies
MENTOR WORLDWIDE LLC,General & Plastic Surgery,Focus Group Study
Micro Therapeutics; Inc. d/b/a ev3 NEUROVASCULAR,Neurology,Pipeline Flex Embolization w Shield Tech PAS
Micro Therapeutics; Inc. d/b/a ev3 NEUROVASCULAR,Neurology,INSPIRE Pipeline Vantage Embolization Device PAS
MicroCube; LLC,Obstetrics/Gynecology,EASE Clinical Trial
MicroVention; Inc.,Neurology,FRED X PAS
MicroVention; Inc.,Neurology,PAS-Post-Market Surveillance Study/LongTerm Safety
MicroVention; Inc.,Neurology,PAS1 - PostMarket Surveillance-Long Term Safety
MicroVention; Inc.,Neurology,PAS2 - WEB-IT Study
NEUROPACE INC,Neurology,Continued F/u -Long Term Treatment (LTT) 
NEUROPACE INC,Neurology,New Enrollment - All Comers
NEUROPACE INC,Neurology,New Enrollment -Performance & Programming
NEUROPACE INC,Neurology,Lead Extraction Study
NEUROPACE INC,Neurology,Autopsy Study
Novocure GmbH,Neurology,Registry Study for Optune System
Novocure GmbH,Neurology,New Enrollment Study for NovoTTF-100A 
NUMED; INC.,Cardiovascular,PARCS continued f/u survey
NUMED; INC.,Cardiovascular,Continued f/u of Premarket Cohorts
NUMED; INC.,Cardiovascular,Cont f/u of premarket cohorts w/stent fra
NuVasive; Inc.,Orthopedic,Extended f/u of the 2-Level Simplify
OCULAR THERAPEUTIX; INC.,Ophthalmic,Device Exposure Registry Study
OCULAR THERAPEUTIX; INC.,Ophthalmic,Clinical PAS
OCULAR THERAPEUTIX; INC.,Ophthalmic,Retrospective Analysis Study for Endophthalmitis
On-X Life Technologies; Inc.,Cardiovascular,Newly Enrolled On-X PAS
OrganOx Limited,Gastroenterology/Urology,WP01 Long-Term Follow-up PAS
OrganOx Limited,Gastroenterology/Urology,WP02 Cont Access Long-Term F/u PAS
OrganOx Limited,Gastroenterology/Urology,New Enrollment PAS
Oticon Medical,Ear Nose & Throat,New Enrollment Study
Paragon 28; Inc.,Orthopedic,Patient Specific Talus Spacer PAS
Pramand; LLC,Neurology,CraniSeal Registry New Enrollment PAS
Premia Spine Ltd.,Orthopedic,The TOPS System Continued F/U Study
Pulmonx Corporation,Anesthesiology,ZEVR-Zephyr Valve Registry
Pulmonx Corporation,Anesthesiology,LIBERATE Extension Study
Pulmonx Corporation,Anesthesiology,ZEVR-Zephyr Valve Registry
PYREXAR MEDICAL INC,Obstetrics/Gynecology,Enhanced Surveillance Study
PYREXAR MEDICAL INC,Obstetrics/Gynecology,Deep Hyperthermia and Radiation
PYREXAR MEDICAL INC,Obstetrics/Gynecology,Registry Study
ReCor Medical; Inc.,Cardiovascular,RADIANCE Cont f/u studies-SOLO; TRIO; RADIANCE II 
ReCor Medical; Inc.,Cardiovascular,(US GPS) New Enrollment Registry Study
ReShape Lifesciences; Inc.,Gastroenterology/Urology,Lap-Band Long Term
ReShape Lifesciences; Inc.,Gastroenterology/Urology,HERO-002
restor3d; Inc.,Orthopedic,Total Talus Replacement (TTR) PAS
RxSight; Inc.,Ophthalmic,LAL/LDD Postmarket RCT
Samsara Vision Inc.,Ophthalmic,Premarket Cohort IMT-002-LTME
Samsara Vision Inc.,Ophthalmic,IMT PAS 01 New Enrollment Study
Senseonics; Incorporated,Clinical Chemistry,Post-Approval Study
Senseonics; Incorporated,Clinical Chemistry,Eversense CGM Non-Adjunctive PAS
SIENTRA; INC,General & Plastic Surgery,Post-Approval PMA Cohorts Study (PACS)
SIENTRA; INC,General & Plastic Surgery,Post-Approval Cont Access Study (PACAS)
SIENTRA; INC,General & Plastic Surgery,US Post-Approval Study (US-PAS)
SIENTRA; INC,General & Plastic Surgery,Post-Approval Case-Control Studies(PACCS)
SIENTRA; INC,General & Plastic Surgery,Focus Group Study
SILK ROAD MEDICAL; INC,Cardiovascular,ROADSTER 3 PAS
Smith & Nephew; Inc.,Orthopedic,UK Study
Smith & Nephew; Inc.,Orthopedic,US Study
Smith & Nephew; Inc.,Orthopedic,Long-Term F/u of EU patients PAS
Smith & Nephew; Inc.,Orthopedic,Short to Mid-Term f/u of New US Patients 
Smith and Nephew; Inc,Orthopedic,Extended Follow-up of the Premarket Cohort
Spatz FGIA Inc.,Gastroenterology/Urology,Spatz3 Post-Approval Study
Spinal Kinetics LLC,Orthopedic,M6-C Artificial Cervical Disc-Extended Follow-up
St. Jude Medical,Cardiovascular,SE Persistent AF (PsAF) PAS 
STAAR Surgical Company,Ophthalmic,CP22-01 Postmarket Evaluation of the EVO ICL
STAAR Surgical Company,Ophthalmic,CP19-01 PAS F/u of PMA Cohort
STAAR Surgical Company,Ophthalmic,Visian Toric ICL New Enrollment PAS
STELKAST COMPANY,Orthopedic,Long term
STELKAST COMPANY,Orthopedic,Stelkast Surpass Active PAS
